bandwidth,centrality,local_time,Instance,Edges,Nodes,Global Time (s)
1519,Harmonic Centrality,0.011722564697265625,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1683,Harmonic Centrality,0.010829448699951172,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1580,Harmonic Centrality,0.010697603225708008,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1807,Harmonic Centrality,0.012198448181152344,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1574,Harmonic Centrality,0.010814905166625977,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1658,Harmonic Centrality,0.010993719100952148,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1658,Harmonic Centrality,0.011594295501708984,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1537,Harmonic Centrality,0.010996103286743164,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1698,Eigenvector,0.012560129165649414,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1671,Eigenvector,0.010822772979736328,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1567,Eigenvector,0.010817766189575195,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1743,Eigenvector,0.012494802474975586,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1703,Eigenvector,0.010818004608154297,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1700,Eigenvector,0.010634899139404297,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1648,Eigenvector,0.010739564895629883,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1622,Eigenvector,0.0108489990234375,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1710,Eigenvector,0.011404275894165039,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1730,Eigenvector,0.01068735122680664,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1726,Eigenvector,0.010747194290161133,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1701,Eigenvector,0.011081695556640625,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1582,Eigenvector,0.010798931121826172,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1569,Eigenvector,0.010934591293334961,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1656,Eigenvector,0.011682748794555664,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1488,Degree,0.01314544677734375,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1545,Degree,0.01166987419128418,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1897,Degree,0.010816812515258789,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1656,Degree,0.010576248168945312,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1569,Degree,0.010803699493408203,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1630,Degree,0.01163935661315918,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1703,Degree,0.010560750961303711,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1602,Degree,0.010712385177612305,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1686,Degree,0.011653661727905273,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1654,Degree,0.010801553726196289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1540,Degree,0.010900735855102539,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1706,Degree,0.011424541473388672,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1739,Degree,0.01093912124633789,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1702,Degree,0.011711359024047852,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1668,Degree,0.011462211608886719,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1883,Harmonic Centrality,0.01315927505493164,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1474,Harmonic Centrality,0.013072013854980469,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1690,Harmonic Centrality,0.01187586784362793,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1701,Harmonic Centrality,0.01218557357788086,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1672,Harmonic Centrality,0.011695146560668945,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1714,Harmonic Centrality,0.013105630874633789,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1630,Harmonic Centrality,0.011507272720336914,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1721,Harmonic Centrality,0.011755228042602539,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1689,Harmonic Centrality,0.010776519775390625,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1425,Harmonic Centrality,0.010624885559082031,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1680,Harmonic Centrality,0.010822057723999023,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1754,Harmonic Centrality,0.010765790939331055,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1601,Harmonic Centrality,0.010529756546020508,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1529,Harmonic Centrality,0.01080322265625,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1705,Harmonic Centrality,0.011577129364013672,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1904,Closeness,0.011083126068115234,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1585,Closeness,0.011693477630615234,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1844,Closeness,0.011678457260131836,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1680,Closeness,0.010713815689086914,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1539,Closeness,0.010775566101074219,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1667,Closeness,0.010845661163330078,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1412,Closeness,0.010733842849731445,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
